kind,γ,v_rin_on_c_s
interp,0.0023716759307444,0.99
interp,0.0024508431895546,0.97
unassisted,0.0024642945672875,0.99
interp,0.0024917185505754,0.96
interp,0.00257627956074,0.94
unassisted,0.0025875365357047,0.96
interp,0.0027106879174084,0.91
interp,0.0027576709756206,0.9
interp,0.0028551844751281,0.88
unassisted,0.0028601255924301,0.9
interp,0.0029058236859245,0.87
interp,0.0030111477565239,0.85
interp,0.003065941066206,0.84
interp,0.0031222597618517,0.83
unassisted,0.0031753086560211,0.84
interp,0.0033010519002947,0.8
interp,0.0033642231580712,0.79
interp,0.0034963742983128,0.77
interp,0.0035656038454845,0.76
interp,0.00403291428106,0.7
interp,0.0046154775374416,0.64
unassisted,0.0047480059230534,0.64
